Alcohol,Total phenols,Flavanoids,Color intensity,Hue,class
11.41,2.48,2.01,3.08,1.1,2
12.08,2.56,2.29,2.9,0.93,2
11.03,2.46,2.17,1.9,1.71,2
11.82,1.98,1.6,1.95,0.95,2
12.42,2,2.09,2.06,1.06,2
12.77,1.63,1.25,3.4,0.7,2
12,2,1.64,1.28,0.93,2
11.45,2.9,2.79,3.25,0.8,2
11.56,3.18,5.08,6,0.93,2
12.42,2.2,2.13,2.08,0.92,2
13.05,2.62,2.65,2.6,0.73,2
11.87,2.86,3.03,2.8,0.75,2
12.07,2.6,2.65,2.76,0.86,2
12.43,2.74,3.15,3.94,0.69,2
11.79,2.13,2.24,3,0.97,2
12.37,2.22,2.45,2.12,0.89,2
12.04,2.1,1.75,2.6,0.79,2
12.86,1.51,1.25,4.1,0.76,3
12.88,1.3,1.22,5.4,0.74,3
12.81,1.15,1.09,5.7,0.66,3
12.7,1.7,1.2,5,0.78,3
12.51,2,0.58,5.45,0.75,3
12.6,1.62,0.66,7.1,0.73,3
12.25,1.38,0.47,3.85,0.75,3
12.53,1.79,0.6,5,0.82,3
13.49,1.62,0.48,5.7,0.81,3
12.84,2.32,0.6,4.92,0.89,3
12.93,1.54,0.5,4.6,0.77,3
13.36,1.4,0.5,5.6,0.7,3
13.52,1.55,0.52,4.35,0.89,3
13.62,2,0.8,4.4,0.91,3
12.25,1.38,0.78,8.21,0.65,3
13.16,1.5,0.55,4,0.6,3
13.88,0.98,0.34,4.9,0.58,3
12.87,1.7,0.65,7.65,0.54,3
13.32,1.93,0.76,8.42,0.55,3
13.08,1.41,1.39,9.4,0.57,3
13.5,1.4,1.57,8.6,0.59,3
12.79,1.48,1.36,10.8,0.48,3
13.11,2.2,1.28,7.1,0.61,3
13.23,1.8,0.83,10.52,0.56,3
12.58,1.48,0.58,7.6,0.58,3
13.17,1.74,0.63,7.9,0.6,3
13.84,1.8,0.83,9.01,0.57,3
12.45,1.9,0.58,7.5,0.67,3
14.34,2.8,1.31,13,0.57,3
13.48,2.6,1.1,11.75,0.57,3
12.36,2.3,0.92,7.65,0.56,3
13.69,1.83,0.56,5.88,0.96,3
12.85,1.65,0.6,5.58,0.87,3
12.96,1.39,0.7,5.28,0.68,3
13.78,1.35,0.68,9.58,0.7,3
13.73,1.28,0.47,6.62,0.78,3
13.45,1.7,0.92,10.68,0.85,3
12.82,1.48,0.66,10.26,0.72,3
13.58,1.55,0.84,8.66,0.74,3
13.4,1.98,0.96,8.5,0.67,3
12.2,1.25,0.49,5.5,0.66,3
12.77,1.39,0.51,9.899999,0.57,3
14.16,1.68,0.7,9.7,0.62,3
13.71,1.68,0.61,7.7,0.64,3
13.4,1.8,0.75,7.3,0.7,3
13.27,1.59,0.69,10.2,0.59,3
13.17,1.65,0.68,9.3,0.6,3
14.13,2.05,0.76,9.2,0.61,3
